#DocumentID	StartOffset	EndOffset	Abbreviation	Definition	Definition_lemmatized
S0004-06142005001000011-3	866	869	EID	extremidad inferior derecha	extremidad inferior derecha
S0004-06142005001000011-3	1759	1763	EEII	extremidades izquierdas	extremidades izquierdas
S0004-06142005001000011-3	1040	1043	RCP	resucitación cardiopulmonar	resucitación cardiopulmonar
S0004-06142005001000011-3	829	833	EEII	extremidades izquierdas	extremidades izquierdas
S0004-06142005001000011-3	276	278	II	incontinencia imperiosa	incontinencia imperiosa
S0004-06142005001000016-1	981	984	RTU	resección transuretral	resección transuretral
S0004-06142005001000016-1	470	473	PSA	pleurodesis con sangre autógena	pleurodesis con sangre autógena
S0004-06142006000200014-1	1303	1304	S	sacro	sacro
S0004-06142006000200014-1	1315	1321	CAM5.2	anticuerpo monoclonal de cytokeratina 5.2	anticuerpo monoclonal de cytokeratina 5.2
S0004-06142006000200014-1	1467	1469	TC	tendón del cuádriceps	tendón del cuádriceps
S0004-06142006000200014-1	1220	1224	CD34	cumulo de diferenciación 34	cumulo de diferenciación 34
S0004-06142006000200014-1	307	309	TC	tendón del cuádriceps	tendón del cuádriceps
S0004-06142006000200014-1	1226	1230	CD99	cumulo de diferenciación 99	cumulo de diferenciación 99
S0004-06142006000300015-1	1716	1718	CK	creatin kinase	creatin kinase
S0004-06142006000300015-1	1711	1714	EMA	enfermedad mitroaórtica	enfermedad mitroaórtica
S0004-06142006000300015-1	1733	1737	CK20	citoqueratina 20	citoqueratina 20
S0004-06142006000600015-1	991	994	FAV	fístula arteriovenosa	fístula arteriovenosa
S0004-06142006000600015-1	828	831	FAV	fístula arteriovenosa	fístula arteriovenosa
S0004-06142006000700013-1	1994	1998	LHRH	hormona liberadora de la hormona luteinizante	hormona liberadora de la hormona luteinizante
S0004-06142006000700013-1	2078	2081	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000700013-1	937	940	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000700013-1	333	336	VSG	velocidad de sedimentación globular	velocidad de sedimentación globular
S0004-06142006000700013-1	284	287	PSA	antígeno prostático específico	antígeno prostático específico
S0004-06142006000700014-1	3641	3644	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000700014-1	3452	3455	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000700014-1	960	963	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000700014-1	957	959	La	labial	labial
S0004-06142006000700014-1	873	876	PSA	pleurodesis con sangre autógena	pleurodesis con sangre autógena
S0004-06142006000700014-1	3574	3577	CEA	comisión de ética asistencial	comisión de ética asistencial
S0004-06142006000700014-1	926	929	CEA	comisión de ética asistencial	comisión de ética asistencial
S0004-06142006000900015-1	1890	1893	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000900015-1	963	966	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000900015-1	179	182	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000900015-1	176	178	La	labial	labial
S0004-06142006000900015-1	588	590	IV	vía intravenosa	vía intravenosa
S0004-06142006000900015-1	550	552	T3	triyodotironina	triyodotironina
S0004-06142006000900015-1	549	550	p	cisplatino	cisplatino
S0004-06142006000900015-1	559	561	II	incontinencia imperiosa	incontinencia imperiosa
S0004-06142007000500011-1	656	659	UIV	urografía intravenosa 	urografía intravenosa 
S0004-06142007000500011-1	505	508	VSG	velocidad de sedimentación globular	velocidad de sedimentación globular
S0004-06142007000500011-1	473	475	mg	miligramo	miligramo
S0004-06142007000500011-1	516	518	mm	milímetro	milímetro
S0004-06142007000600012-1	690	691	S	sacro	sacro
S0004-06142007000600012-1	736	739	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142007000600012-1	688	689	U	uracilo	uracilo
S0004-06142007000600012-1	649	651	RX	rayos x	rayos x
S0004-06142007000600012-1	2061	2063	Sa	saturación en sangre arterial	saturación en sangre arterial
S0004-06142007000600016-2	395	398	RMN	resonancia magnética nuclear	resonancia magnética nuclear
S0004-06142007000700014-1	428	431	TAC	tomografía axial computarizada	tomografía axial computarizada
