# Document_ID	StartOffset	EndOffset	Abbreviation	Definition	Definition_lemmatized
S0365-66912009000300010-1.txt	SHORT_FORM	AGF	SHORT-LONG	LONG_FORM	angiograf�a fluoresce�nica
S0365-66912009000300010-1.txt	SHORT_FORM	ICG	SHORT-LONG	LONG_FORM	 La angiograf�a con verde de indocianina 
S0365-66912009000800005-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
S0365-66912009000800005-1.txt	SHORT_FORM	OI	SHORT-LONG	LONG_FORM	ojo izquierdo
S0365-66912009000800005-1.txt	SHORT_FORM	VSG	SHORT-LONG	LONG_FORM	velocidad de sedimentaci�n globular
S1130-63432014000500008-1.txt	SHORT_FORM	ECG	SHORT-LONG	LONG_FORM	 Se le realiza electrocardiograma 
S0365-66912009001100005-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
S0365-66912009001100005-1.txt	SHORT_FORM	AV	SHORT-LONG	LONG_FORM	agudeza visual
S0365-66912009001100005-1.txt	SHORT_FORM	OI	SHORT-LONG	LONG_FORM	ojo izquierdo
S0365-66912009001100005-1.txt	SHORT_FORM	AO	SHORT-LONG	LONG_FORM	ambos ojos
S0365-66912009001100005-1.txt	SHORT_FORM	TC	SHORT-LONG	LONG_FORM	tomograf�a computerizada
S0365-66912009001100006-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	Hg  // ojo derecho // 
S0365-66912009001100006-1.txt	SHORT_FORM	PIO	SHORT-LONG	LONG_FORM	presi�n intraocular
S0365-66912009001100006-1.txt	SHORT_FORM	OI	SHORT-LONG	LONG_FORM	Hg  // ojo izquierdo // 
S0365-66912009001100006-1.txt	SHORT_FORM	BMU	SHORT-LONG	LONG_FORM	biomicroscop�a ultras�nica
S0365-66912010001200005-1.txt	SHORT_FORM	AGF	SHORT-LONG	LONG_FORM	angiografía fluoresce�nica
S0365-66912010001200005-1.txt	SHORT_FORM	OCT	SHORT-LONG	LONG_FORM	tomografía de coherencia óptica 
S0365-66912010001200005-1.txt	SHORT_FORM	DRNS	SHORT-LONG	LONG_FORM	desprendimiento de retina neurosensorial
S0365-66912010001200005-1.txt	SHORT_FORM	AVI	SHORT-LONG	LONG_FORM	 y verde de indocianina 
S0365-66912010001200005-1.txt	SHORT_FORM	AVSC	SHORT-LONG	LONG_FORM	agudeza visual sin correcci�n
S0365-66912010001200005-1.txt	SHORT_FORM	DP	SHORT-LONG	LONG_FORM	diámetros papilares
S1131-57682003000300008-1.txt	SHORT_FORM	PFP	SHORT-LONG	LONG_FORM	 pruebas de función pulmonar 
S1131-57682003000300008-1.txt	SHORT_FORM	TB	SHORT-LONG	LONG_FORM	tuberculosis
S1131-57682003000300008-1.txt	SHORT_FORM	TC	SHORT-LONG	LONG_FORM	tomografía computadorizada
S0365-66912011000900005-1.txt	SHORT_FORM	PIO	SHORT-LONG	LONG_FORM	presión intraocular
S0365-66912011000900005-1.txt	SHORT_FORM	FO	SHORT-LONG	LONG_FORM	fondo de ojo
S1134-80462006000600005-1.txt	SHORT_FORM	LLA	SHORT-LONG	LONG_FORM	linfobl�stica aguda
S0365-66912012000200004-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
S0365-66912012000200004-1.txt	SHORT_FORM	AV	SHORT-LONG	LONG_FORM	agudeza visual
S0365-66912012000200004-1.txt	SHORT_FORM	TAC	SHORT-LONG	LONG_FORM	tomograf�a axial computarizada
S0365-66912012000200004-1.txt	SHORT_FORM	OI	SHORT-LONG	LONG_FORM	ojo izquierdo
S1130-63432014000100012-1.txt	SHORT_FORM	ECMO	SHORT-LONG	LONG_FORM	Oxigenaci�n con Membrana Extracorp�rea
S1130-63432014000100012-1.txt	SHORT_FORM	LBA	SHORT-LONG	LONG_FORM	lavado broncoalveolar
S0365-66912006001200009-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
S0365-66912006001200009-1.txt	SHORT_FORM	OI	SHORT-LONG	LONG_FORM	ojo izquierdo
S0210-48062004000900010-1.txt	SHORT_FORM	TBC	SHORT-LONG	LONG_FORM	 dudosa tuberculosis 
S0376-78922007000400008-1.txt	SHORT_FORM	MID	SHORT-LONG	LONG_FORM	miembro inferior derecho
S0376-78922007000400008-1.txt	SHORT_FORM	UCI	SHORT-LONG	LONG_FORM	Unidad de Cuidados Intensivos
S1135-76062005000100002-1.txt	SHORT_FORM	HSA	SHORT-LONG	LONG_FORM	hemorragia subaracnoidea
S0376-78922009000100014-1.txt	SHORT_FORM	RNM	SHORT-LONG	LONG_FORM	Resonancia Nuclear Magnética
S0376-78922009000400002-1.txt	SHORT_FORM	UCI	SHORT-LONG	LONG_FORM	Unidad de Cuidados Intensivos
S0376-78922009000400010-1.txt	SHORT_FORM	RMN	SHORT-LONG	LONG_FORM	Resonancia Magnética Nuclear
S0376-78922011000500005-1.txt	SHORT_FORM	EPOC	SHORT-LONG	LONG_FORM	enfermedad pulmonar obstructiva crónica
S0376-78922011000500012-1.txt	SHORT_FORM	UCI	SHORT-LONG	LONG_FORM	Unidad de Cuidados Intensivos
S0210-48062007000700017-1.txt	SHORT_FORM	BCG	SHORT-LONG	LONG_FORM	steriormente presentó recidiva tumoral en el año 2000 y 2004 diagnosticadas de carcinoma in situ y fueron tratados con quimioterapia intravesical 
S0210-48062007000700017-1.txt	SHORT_FORM	CK	SHORT-LONG	LONG_FORM	 y citoqueratina 
S1137-66272011000300023-1.txt	SHORT_FORM	VHS	SHORT-LONG	LONG_FORM	virus Herpes simple
S1137-66272011000300023-1.txt	SHORT_FORM	CMV	SHORT-LONG	LONG_FORM	 Citomegalovirus 
S1137-66272011000300023-1.txt	SHORT_FORM	RNM	SHORT-LONG	LONG_FORM	resonancia nuclear magnética
S1137-66272011000300023-1.txt	SHORT_FORM	VEB	SHORT-LONG	LONG_FORM	virus de Epstein Barr
S1137-66272011000300023-1.txt	SHORT_FORM	TAC	SHORT-LONG	LONG_FORM	tomografía axial computarizada
S1137-66272011000300023-1.txt	SHORT_FORM	VVZ	SHORT-LONG	LONG_FORM	Varicela zóster
S0376-78922016000200011-1.txt	SHORT_FORM	RM	SHORT-LONG	LONG_FORM	resonancia magnética
S0376-78922016000200011-1.txt	SHORT_FORM	PET	SHORT-LONG	LONG_FORM	tomografía por emisión de positrones
S1137-66272012000300023-1.txt	SHORT_FORM	ECE	SHORT-LONG	LONG_FORM	enteroscopia con cápsula endoscópica 
S0210-48062009000400017-1.txt	SHORT_FORM	RTU	SHORT-LONG	LONG_FORM	resección transuretral
S0210-48062009000400017-1.txt	SHORT_FORM	RM	SHORT-LONG	LONG_FORM	resonancia magnética
S0210-48062009000400017-1.txt	SHORT_FORM	IV	SHORT-LONG	LONG_FORM	intravenoso
S0210-48062009000400017-1.txt	SHORT_FORM	TC	SHORT-LONG	LONG_FORM	tomografía computarizada
S0376-78922017000100008-1.txt	SHORT_FORM	RNM	SHORT-LONG	LONG_FORM	resonancia nuclear magnética
S0376-78922017000100008-1.txt	SHORT_FORM	TAC	SHORT-LONG	LONG_FORM	tomografía axial computarizada
S1137-66272013000100023-1.txt	SHORT_FORM	RX	SHORT-LONG	LONG_FORM	 En la radiografía 
S0210-48062010000100019-3.txt	SHORT_FORM	AA	SHORT-LONG	LONG_FORM	amiloide
S1137-66272014000100019-1.txt	SHORT_FORM	HQR	SHORT-LONG	LONG_FORM	hamartoma quístico retrorrectal
S0378-48352006000300005-1.txt	SHORT_FORM	LNH	SHORT-LONG	LONG_FORM	linfoma no Hodgkin
S0378-48352006000300005-1.txt	SHORT_FORM	ANOES	SHORT-LONG	LONG_FORM	 La serologías víricas y el estudio de autoinmunidad 
S0378-48352006000300005-1.txt	SHORT_FORM	LPP	SHORT-LONG	LONG_FORM	linfoma pulmonar primario
S0378-48352006000300005-1.txt	SHORT_FORM	PAAF	SHORT-LONG	LONG_FORM	punción-aspiración con aguja fina
S0378-48352006000300005-1.txt	SHORT_FORM	RPMB	SHORT-LONG	LONG_FORM	remisión parcial muy buena
S0378-48352006000300005-1.txt	SHORT_FORM	TAC	SHORT-LONG	LONG_FORM	tomografía axial computerizada
S0378-48352006000300005-1.txt	SHORT_FORM	LLBCP	SHORT-LONG	LONG_FORM	 de células pequeñas 
S0210-56912006000600007-1.txt	SHORT_FORM	TAM	SHORT-LONG	LONG_FORM	tensión arterial media
S0210-56912006000600007-1.txt	SHORT_FORM	RVP	SHORT-LONG	LONG_FORM	 y pulmonar 
S0210-56912006000600007-1.txt	SHORT_FORM	RVS	SHORT-LONG	LONG_FORM	resistencias vasculares sistémica
S0210-56912006000600007-1.txt	SHORT_FORM	IC	SHORT-LONG	LONG_FORM	 con un índice 
S0210-56912006000600007-1.txt	SHORT_FORM	GC	SHORT-LONG	LONG_FORM	gasto cardíaco
S0210-56912006000600007-1.txt	SHORT_FORM	CD	SHORT-LONG	LONG_FORM	coronaria derecha
S0210-56912006000600007-1.txt	SHORT_FORM	ECG	SHORT-LONG	LONG_FORM	nz estaba en posición correcta y no presentó cambios en el electrocardiograma 
S0210-56912006000600007-1.txt	SHORT_FORM	CX	SHORT-LONG	LONG_FORM	 del 70% en la bisectriz y del 70% en la circunfleja 
S0210-56912006000600007-1.txt	SHORT_FORM	DA	SHORT-LONG	LONG_FORM	descendente anterior
S0210-56912006000800008-1.txt	SHORT_FORM	TAC	SHORT-LONG	LONG_FORM	tomografía axial computarizada
S0210-56912006000800008-1.txt	SHORT_FORM	UCI	SHORT-LONG	LONG_FORM	Unidad de Cuidados Intensivos
S0465-546X2009000300008-1.txt	SHORT_FORM	SPRL	SHORT-LONG	LONG_FORM	Servicio de Prevención de Riesgos Laborales
S1137-66272016000200010-1.txt	SHORT_FORM	TSOH	SHORT-LONG	LONG_FORM	test de sangre oculta en heces
S0210-56912007000200007-3.txt	SHORT_FORM	FMO	SHORT-LONG	LONG_FORM	fracaso multiorgánico
S0210-56912007000200007-3.txt	SHORT_FORM	UMI	SHORT-LONG	LONG_FORM	Unidad de Medicina Intensiva
S0465-546X2014000400012-1.txt	SHORT_FORM	INSS	SHORT-LONG	LONG_FORM	Instituto Nacional de Seguridad Social
S1138-123X2004000100006-2.txt	SHORT_FORM	AEO	SHORT-LONG	LONG_FORM	aparatología extraoral
S0210-56912008000400007-3.txt	SHORT_FORM	TAS	SHORT-LONG	LONG_FORM	tensión arterial sistólica
S1139-76322012000300006-2.txt	SHORT_FORM	CMV	SHORT-LONG	LONG_FORM	 y citomegalovirus 
S0211-69952011000500011-1.txt	SHORT_FORM	UCI	SHORT-LONG	LONG_FORM	unidad de cuidados intensivos
S0211-69952011000500011-1.txt	SHORT_FORM	Cr	SHORT-LONG	LONG_FORM	creatinina
S1130-01082007001000017-1.txt	SHORT_FORM	BP	SHORT-LONG	LONG_FORM	 que acude a Urgencias custodiado por agentes de policía desde el aeropuerto por sospecha de ingesta y transporte intraabdominal de envoltorios de droga 
S0211-69952011000500013-1.txt	SHORT_FORM	P	SHORT-LONG	LONG_FORM	 un agente quelante del fosfato 
S1139-76322012000300006-2.txt	SHORT_FORM	CMV	SHORT-LONG	LONG_FORM	 y citomegalovirus 
S0211-69952011000500011-1.txt	SHORT_FORM	UCI	SHORT-LONG	LONG_FORM	unidad de cuidados intensivos
S0211-69952011000500011-1.txt	SHORT_FORM	Cr	SHORT-LONG	LONG_FORM	creatinina
S1130-01082007001000017-1.txt	SHORT_FORM	BP	SHORT-LONG	LONG_FORM	 que acude a Urgencias custodiado por agentes de policía desde el aeropuerto por sospecha de ingesta y transporte intraabdominal de envoltorios de droga 
S0211-69952011000500013-1.txt	SHORT_FORM	P	SHORT-LONG	LONG_FORM	 un agente quelante del fosfato 
S1130-01082007001100012-1.txt	SHORT_FORM	AGCM	SHORT-LONG	LONG_FORM	 baja en grasas y rica en ácidos grasos de cadena media 
S1130-01082007001100012-1.txt	SHORT_FORM	NE	SHORT-LONG	LONG_FORM	nutrición enteral
S1130-01082007001200012-1.txt	SHORT_FORM	PAAF	SHORT-LONG	LONG_FORM	punción aspiración con aguja fina
S1130-01082007001200012-1.txt	SHORT_FORM	TAC	SHORT-LONG	LONG_FORM	tomografía axial computadorizada
S1139-76322015000400006-1.txt	SHORT_FORM	P10	SHORT-LONG	LONG_FORM	5 cm  // 995 kg  // 
S1139-76322012000300006-2.txt	SHORT_FORM	CMV	SHORT-LONG	LONG_FORM	 y citomegalovirus 
S0211-69952011000500011-1.txt	SHORT_FORM	UCI	SHORT-LONG	LONG_FORM	unidad de cuidados intensivos
S0211-69952011000500011-1.txt	SHORT_FORM	Cr	SHORT-LONG	LONG_FORM	creatinina
S1130-01082007001000017-1.txt	SHORT_FORM	BP	SHORT-LONG	LONG_FORM	 que acude a Urgencias custodiado por agentes de policía desde el aeropuerto por sospecha de ingesta y transporte intraabdominal de envoltorios de droga 
S0211-69952011000500013-1.txt	SHORT_FORM	P	SHORT-LONG	LONG_FORM	 un agente quelante del fosfato 
S1130-01082007001100012-1.txt	SHORT_FORM	AGCM	SHORT-LONG	LONG_FORM	 baja en grasas y rica en ácidos grasos de cadena media 
S1130-01082007001100012-1.txt	SHORT_FORM	NE	SHORT-LONG	LONG_FORM	nutrición enteral
S1130-01082007001200012-1.txt	SHORT_FORM	PAAF	SHORT-LONG	LONG_FORM	punción aspiración con aguja fina
S1130-01082007001200012-1.txt	SHORT_FORM	TAC	SHORT-LONG	LONG_FORM	tomografía axial computadorizada
S1139-76322015000400006-1.txt	SHORT_FORM	P10	SHORT-LONG	LONG_FORM	5 cm  // 995 kg  // 
S1130-01082008000800009-1.txt	SHORT_FORM	TAC	SHORT-LONG	LONG_FORM	tomografía axial computerizada
S0212-16112007000600015-1.txt	SHORT_FORM	GER	SHORT-LONG	LONG_FORM	Gasto Energético en Reposo
S1130-01082009000200012-1.txt	SHORT_FORM	CT	SHORT-LONG	LONG_FORM	computerizada
S1698-69462006000300015-1.txt	SHORT_FORM	ATM	SHORT-LONG	LONG_FORM	articulación temporomandibular
S1699-695X2015000100013-1.txt	SHORT_FORM	PRC	SHORT-LONG	LONG_FORM	Programa de Rehabilitación Cardiaca
S1699-695X2015000100013-1.txt	SHORT_FORM	AP	SHORT-LONG	LONG_FORM	Atención primaria
S0212-16112013000300055-1.txt	SHORT_FORM	CU	SHORT-LONG	LONG_FORM	Colitis Ulcerosa
S1130-01082009000400011-1.txt	SHORT_FORM	TC	SHORT-LONG	LONG_FORM	tomografía computerizada
S1699-695X2015000200010-1.txt	SHORT_FORM	BM	SHORT-LONG	LONG_FORM	balance muscular
S1699-695X2015000200010-1.txt	SHORT_FORM	BA	SHORT-LONG	LONG_FORM	balance articular
S1130-01082009000400014-1.txt	SHORT_FORM	NPT	SHORT-LONG	LONG_FORM	nutrición parenteral
S1699-695X2015000300010-1.txt	SHORT_FORM	MMSS	SHORT-LONG	LONG_FORM	miembros superiores
S1699-695X2015000300010-1.txt	SHORT_FORM	MMII	SHORT-LONG	LONG_FORM	miembros inferiores
S1699-695X2015000300010-1.txt	SHORT_FORM	PEG	SHORT-LONG	LONG_FORM	gastrostomía percutánea
S1699-695X2015000300010-1.txt	SHORT_FORM	ITB	SHORT-LONG	LONG_FORM	 realiza índice tobillo-brazo 
S1699-695X2015000300010-1.txt	SHORT_FORM	ROT	SHORT-LONG	LONG_FORM	Reflejo osteo-tendinoso
S1699-695X2015000300010-1.txt	SHORT_FORM	ELA	SHORT-LONG	LONG_FORM	Esclerosis lateral amiotrófica
S1699-695X2015000300010-1.txt	SHORT_FORM	EMG	SHORT-LONG	LONG_FORM	 que solicita electromiograma 
S1699-695X2015000300010-1.txt	SHORT_FORM	ENG	SHORT-LONG	LONG_FORM	 electroneurografía 
S1699-695X2016000200009-1.txt	SHORT_FORM	MMII	SHORT-LONG	LONG_FORM	miembros inferiores
S1699-695X2016000200009-1.txt	SHORT_FORM	RM	SHORT-LONG	LONG_FORM	resonancia magnética
S1130-01082009000700016-1.txt	SHORT_FORM	UCI	SHORT-LONG	LONG_FORM	Unidad de Cuidados Intensivos
S1130-01082009000700016-1.txt	SHORT_FORM	PCR	SHORT-LONG	LONG_FORM	 reactiva 
S0212-71992005000400009-1.txt	SHORT_FORM	IV	SHORT-LONG	LONG_FORM	intravenosa
S1887-85712014000100005-1.txt	SHORT_FORM	TC	SHORT-LONG	LONG_FORM	tomografía computerizada
S0212-71992005001000009-1.txt	SHORT_FORM	MGIT	SHORT-LONG	LONG_FORM	 ambos en medio especifico para micobacterias 
S1130-01082011000500014-1.txt	SHORT_FORM	TC	SHORT-LONG	LONG_FORM	tomografía computerizada
S1130-01082011000500014-1.txt	SHORT_FORM	RMN	SHORT-LONG	LONG_FORM	resonancia magnética nuclear
S1887-85712015000100005-1.txt	SHORT_FORM	PNJ	SHORT-LONG	LONG_FORM	pneumocystis jiroveci
S1130-05582007000600003-1.txt	SHORT_FORM	TVTLF	SHORT-LONG	LONG_FORM	 y el tronco venoso tirolinguofacial 
S1889-836X2015000200005-1.txt	SHORT_FORM	TCS	SHORT-LONG	LONG_FORM	tejido celular subcutáneo
S1889-836X2015000200005-1.txt	SHORT_FORM	IMC	SHORT-LONG	LONG_FORM	índice de masa corporal   
S0365-66912005001200010-1.txt	SHORT_FORM	NO	SHORT-LONG	LONG_FORM	nervio óptico
S0365-66912005001200010-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
S0365-66912005001200010-1.txt	SHORT_FORM	OI	SHORT-LONG	LONG_FORM	ojo izquierdo
S0210-56912010000200009-1.txt	SHORT_FORM	BAL	SHORT-LONG	LONG_FORM	lavado broncoalveolar
S0210-56912010000200009-1.txt	SHORT_FORM	VMNI	SHORT-LONG	LONG_FORM	ventilación mecánica no invasiva
S0365-66912007000200011-1.txt	SHORT_FORM	AGF	SHORT-LONG	LONG_FORM	 En la angiografía fluoresceínica 
S0365-66912007000200011-1.txt	SHORT_FORM	TFD	SHORT-LONG	LONG_FORM	terapia fotodinámica
S0365-66912007000200011-1.txt	SHORT_FORM	AVI	SHORT-LONG	LONG_FORM	angiografía con verde de indocianina
S0365-66912007000200011-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
S0365-66912007000200011-1.txt	SHORT_FORM	OI	SHORT-LONG	LONG_FORM	ojo izquierdo
S1130-01082009001000013-1.txt	SHORT_FORM	APC	SHORT-LONG	LONG_FORM	 se realiza tratamiento con argón plasma 
S1139-76322017000200007-1.txt	SHORT_FORM	VSG	SHORT-LONG	LONG_FORM	velocidad de sedimentación globular
S1139-76322017000200007-1.txt	SHORT_FORM	CMV	SHORT-LONG	LONG_FORM	 y citomegalovirus 
S1139-76322017000200007-1.txt	SHORT_FORM	IGRA	SHORT-LONG	LONG_FORM	hora y el interferon-gamma release assays 
S1139-76322017000200007-1.txt	SHORT_FORM	VEB	SHORT-LONG	LONG_FORM	rr 
S1139-76322017000200007-1.txt	SHORT_FORM	PAAF	SHORT-LONG	LONG_FORM	punción aspiración con aguja fina
S0365-66912012000500005-1.txt	SHORT_FORM	OCT	SHORT-LONG	LONG_FORM	 la tomografía óptica de coherencia 
S0365-66912012000500005-1.txt	SHORT_FORM	MAVC	SHORT-LONG	LONG_FORM	mejor agudeza visual corregida
S0365-66912012000500005-1.txt	SHORT_FORM	AFG	SHORT-LONG	LONG_FORM	 Angiografía fluoresceínica 
S0365-66912012000500005-1.txt	SHORT_FORM	EPR	SHORT-LONG	LONG_FORM	epitelio pigmentario retiniano
S0365-66912012000500005-1.txt	SHORT_FORM	FO	SHORT-LONG	LONG_FORM	fondo de ojo
S0365-66912012000500005-1.txt	SHORT_FORM	AO	SHORT-LONG	LONG_FORM	ambos ojos
S0365-66912012000500005-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
S0365-66912012000500005-1.txt	SHORT_FORM	PIO	SHORT-LONG	LONG_FORM	presión intraocular
S0365-66912012000500005-1.txt	SHORT_FORM	BMC	SHORT-LONG	LONG_FORM	 y la biomicroscopia 
S0365-66912012000500005-1.txt	SHORT_FORM	OI	SHORT-LONG	LONG_FORM	ojo izquierdo
S0365-66912012000500005-1.txt	SHORT_FORM	NVC	SHORT-LONG	LONG_FORM	 una lesión cupuliforme densa 
S0365-66912012000500005-1.txt	SHORT_FORM	hipo-FA	SHORT-LONG	LONG_FORM	 y lesiones lineales irregulares hipoautofluorescentes 
S0365-66912012000500005-1.txt	SHORT_FORM	FA	SHORT-LONG	LONG_FORM	autofluorescencia de fondo
S0365-66912012000500005-1.txt	SHORT_FORM	EA	SHORT-LONG	LONG_FORM	estrías angioides
S0365-66912011000400005-2.txt	SHORT_FORM	anti-CCP	SHORT-LONG	LONG_FORM	 títulos altos de factor reumatoide y anticuerpos antipéptido cíclico citrulinado
S0210-48062010000100019-4.txt	SHORT_FORM	AA	SHORT-LONG	LONG_FORM	amiloidosis
S1137-66272015000300014-1.txt	SHORT_FORM	TAP	SHORT-LONG	LONG_FORM	 se realizó un bloqueo transabdominal percutáneo 
S1137-66272015000300014-1.txt	SHORT_FORM	VMNI	SHORT-LONG	LONG_FORM	ventilación mecánica no invasiva
S0210-56912007000700008-1.txt	SHORT_FORM	PEEP	SHORT-LONG	LONG_FORM	 presión positiva al final de la espiración 
S0210-56912007000700008-1.txt	SHORT_FORM	LDH	SHORT-LONG	LONG_FORM	 lacticodeshidrogenasa 
S1139-76322011000100011-1.txt	SHORT_FORM	PTH	SHORT-LONG	LONG_FORM	 hormona paratiroidea 
S1139-76322011000100011-1.txt	SHORT_FORM	P	SHORT-LONG	LONG_FORM	 fósforo 
