AVSC	agudeza visual sin corrección
DP	diámetros papilares
PFP	 pruebas de función pulmonar 
TB	tuberculosis
TC	tomografía computadorizada
PIO	presión intraocular
FO	fondo de ojo
LLA	linfoblástica aguda
OD	ojo derecho
AV	agudeza visual
TAC	tomografía axial computarizada
OI	ojo izquierdo
ECMO	Oxigenación con Membrana Extracorpórea
LBA	lavado broncoalveolar
OD	ojo derecho
OI	ojo izquierdo
TBC	 dudosa tuberculosis 
MID	miembro inferior derecho
UCI	Unidad de Cuidados Intensivos
HSA	hemorragia subaracnoidea
RNM	Resonancia Nuclear Magnética
UCI	Unidad de Cuidados Intensivos
RMN	Resonancia Magnética Nuclear
EPOC	enfermedad pulmonar obstructiva crónica
UCI	Unidad de Cuidados Intensivos
BCG	steriormente presentó recidiva tumoral en el año 2000 y 2004 diagnosticadas de carcinoma in situ y fueron tratados con quimioterapia intravesical 
CK	 y citoqueratina 
VHS	virus Herpes simple
CMV	 Citomegalovirus 
RNM	resonancia nuclear magnética
VEB	virus de Epstein Barr
TAC	tomografía axial computarizada
VVZ	Varicela zóster
RM	resonancia magnética
PET	tomografía por emisión de positrones
ECE	enteroscopia con cápsula endoscópica 
RTU	resección transuretral
RM	resonancia magnética
IV	intravenoso
TC	tomografía computarizada
RNM	resonancia nuclear magnética
TAC	tomografía axial computarizada
RX	 En la radiografía 
AA	amiloide
HQR	hamartoma quístico retrorrectal
LNH	linfoma no Hodgkin
ANOES	 La serologías víricas y el estudio de autoinmunidad 
LPP	linfoma pulmonar primario
PAAF	punción-aspiración con aguja fina
RPMB	remisión parcial muy buena
TAC	tomografía axial computerizada
LLBCP	 de células pequeñas 
TAM	tensión arterial media
RVP	 y pulmonar 
RVS	resistencias vasculares sistémica
IC	 con un índice 
GC	gasto cardíaco
CD	coronaria derecha
ECG	nz estaba en posición correcta y no presentó cambios en el electrocardiograma 
CX	 del 70% en la bisectriz y del 70% en la circunfleja 
DA	descendente anterior
TAC	tomografía axial computarizada
UCI	Unidad de Cuidados Intensivos
SPRL	Servicio de Prevención de Riesgos Laborales
TSOH	test de sangre oculta en heces
FMO	fracaso multiorgánico
UMI	Unidad de Medicina Intensiva
INSS	Instituto Nacional de Seguridad Social
AEO	aparatología extraoral
TAS	tensión arterial sistólica
CMV	 y citomegalovirus 
UCI	unidad de cuidados intensivos
Cr	creatinina
BP	 que acude a Urgencias custodiado por agentes de policía desde el aeropuerto por sospecha de ingesta y transporte intraabdominal de envoltorios de droga 
P	 un agente quelante del fosfato 
CMV	 y citomegalovirus 
UCI	unidad de cuidados intensivos
Cr	creatinina
BP	 que acude a Urgencias custodiado por agentes de policía desde el aeropuerto por sospecha de ingesta y transporte intraabdominal de envoltorios de droga 
P	 un agente quelante del fosfato 
AGCM	 baja en grasas y rica en ácidos grasos de cadena media 
NE	nutrición enteral
PAAF	punción aspiración con aguja fina
TAC	tomografía axial computadorizada
P10	5 cm  // 995 kg  // 
CMV	 y citomegalovirus 
UCI	unidad de cuidados intensivos
Cr	creatinina
BP	 que acude a Urgencias custodiado por agentes de policía desde el aeropuerto por sospecha de ingesta y transporte intraabdominal de envoltorios de droga 
P	 un agente quelante del fosfato 
AGCM	 baja en grasas y rica en ácidos grasos de cadena media 
NE	nutrición enteral
PAAF	punción aspiración con aguja fina
TAC	tomografía axial computadorizada
P10	5 cm  // 995 kg  // 
TAC	tomografía axial computerizada
GER	Gasto Energético en Reposo
CT	computerizada
ATM	articulación temporomandibular
PRC	Programa de Rehabilitación Cardiaca
AP	Atención primaria
CU	Colitis Ulcerosa
TC	tomografía computerizada
BM	balance muscular
BA	balance articular
NPT	nutrición parenteral
MMSS	miembros superiores
MMII	miembros inferiores
PEG	gastrostomía percutánea
ITB	 realiza índice tobillo-brazo 
ROT	Reflejo osteo-tendinoso
ELA	Esclerosis lateral amiotrófica
EMG	 que solicita electromiograma 
ENG	 electroneurografía 
MMII	miembros inferiores
RM	resonancia magnética
UCI	Unidad de Cuidados Intensivos
PCR	 reactiva 
IV	intravenosa
TC	tomografía computerizada
MGIT	 ambos en medio especifico para micobacterias 
TC	tomografía computerizada
RMN	resonancia magnética nuclear
PNJ	pneumocystis jiroveci
TVTLF	y el tronco venoso tirolinguofacial 
TCS	tejido celular subcutáneo
IMC	índice de masa corporal   
NO	nervio óptico
OD	ojo derecho
OI	ojo izquierdo
BAL	lavado broncoalveolar
VMNI	ventilación mecánica no invasiva
AGF	 En la angiografía fluoresceínica 
TFD	terapia fotodinámica
AVI	angiografía con verde de indocianina
OD	ojo derecho
OI	ojo izquierdo
APC	 se realiza tratamiento con argón plasma 
VSG	velocidad de sedimentación globular
CMV	 y citomegalovirus 
IGRA	hora y el interferon-gamma release assays 
VEB	rr 
PAAF	punción aspiración con aguja fina
OCT	 la tomografía óptica de coherencia 
MAVC	mejor agudeza visual corregida
AFG	 Angiografía fluoresceínica 
EPR	epitelio pigmentario retiniano
FO	fondo de ojo
AO	ambos ojos
OD	ojo derecho
PIO	presión intraocular
BMC	 y la biomicroscopia 
OI	ojo izquierdo
NVC	 una lesión cupuliforme densa 
hipo-FA	 y lesiones lineales irregulares hipoautofluorescentes 
FA	autofluorescencia de fondo
EA	estrías angioides
anti-CCP	 títulos altos de factor reumatoide y anticuerpos antipéptido cíclico citrulinado
AA	amiloidosis
TAP	 se realizó un bloqueo transabdominal percutáneo 
VMNI	ventilación mecánica no invasiva
PEEP	 presión positiva al final de la espiración 
LDH	lacticodeshidrogenasa 
PTH	hormona paratiroidea 
P	fósforo 
HTBI	 con el diagnóstico de hiperfosfatasemia benigna transitoria de la infancia 
Ca	calcio
HPTS	 Tres años después de la hemodiálisis presenta hiperparatiroidismo secundario 
ANA	 anticuerpos antinucleares 
ANCA	anticitoplasma de neutrófilos
ENA	 anticuerpos extraíbles del núcleo 
P3L3F2	nica periportal 
ECG	 y el electrocardiograma 
EFK	l con excreción fraccional de potasio 
EMG	 La electromiografía  // mpoco se pudo realizar coincidiendo con la clínica la electromiografía  // 
CPK	 la determinación de creatinfosfocinasa 
VSG	velocidad de sedimentación globular
CMV	 y citomegalovirus 
IGRA	hora y el interferon-gamma release assays 
VEB	rr 
PAAF	punción aspiración con aguja fina
RMN	resonancia magnética nuclear
UMO	Unidad Metabólica Ósea
TAC	tomografía axial computarizada
P3L3F2	 se diagnosticó en 1984 y una biopsia hepática en el año 2000 mostró una hepatitis crónica periportal 
PCR	 reactiva 
ADN	ácido desoxirribonucleico
RM	resonancia magnética
NP	nutrición parenteral
AGE	ácidos grasos esenciales
COL	 colesterol 
TG	triglicéridos
NE	nutrición enteral
PCR	 reactiva
